Executable,Chunk Size,Run,Time Elapsed
integration_reduction_dynamic,10000000,10,52.462166
integration_reduction_guided,1,1,7.379505
integration_reduction_guided,1,2,7.498061
integration_reduction_guided,1,3,7.619127
integration_reduction_guided,1,4,7.925423
integration_reduction_guided,1,5,8.697340
integration_reduction_guided,1,6,8.642732
integration_reduction_guided,1,7,8.627355
integration_reduction_guided,1,8,8.646292
integration_reduction_guided,1,9,8.626410
integration_reduction_guided,1,10,9.278945
integration_reduction_guided,10,1,11.191793
integration_reduction_guided,10,2,11.143116
integration_reduction_guided,10,3,11.117464
integration_reduction_guided,10,4,11.138530
integration_reduction_guided,10,5,11.099514
integration_reduction_guided,10,6,11.108012
integration_reduction_guided,10,7,11.114136
integration_reduction_guided,10,8,11.053051
integration_reduction_guided,10,9,11.087339
integration_reduction_guided,10,10,11.071866
integration_reduction_guided,100,1,12.309357
integration_reduction_guided,100,2,11.101921
integration_reduction_guided,100,3,12.250834
integration_reduction_guided,100,4,12.268972
integration_reduction_guided,100,5,10.107712
integration_reduction_guided,100,6,9.992947
integration_reduction_guided,100,7,11.852529
integration_reduction_guided,100,8,12.289212
integration_reduction_guided,100,9,12.267348
integration_reduction_guided,100,10,12.272834
integration_reduction_guided,1000,1,29.771630
integration_reduction_guided,1000,2,27.696834
integration_reduction_guided,1000,3,30.054812
integration_reduction_guided,1000,4,30.052124
integration_reduction_guided,1000,5,29.231923
integration_reduction_guided,1000,6,28.635977
integration_reduction_guided,1000,7,30.015162
integration_reduction_guided,1000,8,29.137310
integration_reduction_guided,1000,9,30.070230
integration_reduction_guided,1000,10,29.109977
integration_reduction_guided,10000,1,52.576225
integration_reduction_guided,10000,2,52.350812
integration_reduction_guided,10000,3,52.398891
integration_reduction_guided,10000,4,52.556741
integration_reduction_guided,10000,5,52.431534
integration_reduction_guided,10000,6,52.510345
integration_reduction_guided,10000,7,52.548914
integration_reduction_guided,10000,8,52.327325
integration_reduction_guided,10000,9,52.618411
integration_reduction_guided,10000,10,52.511795
integration_reduction_guided,1000000,1,52.370583
integration_reduction_guided,1000000,2,52.466223
integration_reduction_guided,1000000,3,52.346276
integration_reduction_guided,1000000,4,54.064075
integration_reduction_guided,1000000,5,52.986480
integration_reduction_guided,1000000,6,52.353432
integration_reduction_guided,1000000,7,52.363203
integration_reduction_guided,1000000,8,52.583294
integration_reduction_guided,1000000,9,52.732739
integration_reduction_guided,1000000,10,52.536850
integration_reduction_guided,10000000,1,52.900267
integration_reduction_guided,10000000,2,52.448748
integration_reduction_guided,10000000,3,52.536775
integration_reduction_guided,10000000,4,52.479430
integration_reduction_guided,10000000,5,52.493412
integration_reduction_guided,10000000,6,52.399922
integration_reduction_guided,10000000,7,52.441215
integration_reduction_guided,10000000,8,52.492331
integration_reduction_guided,10000000,9,52.576537
integration_reduction_guided,10000000,10,52.301902
